D2;ActionState;timeScale;Frame;Time
D2;PREDRIVE;1;520;4.38693
D2;PREDRIVE;1;521;4.395567
D2;PREDRIVE;1;522;4.403541
D2;PREDRIVE;1;523;4.41163
D2;PREDRIVE;1;524;4.420518
D2;PREDRIVE;1;525;4.428097
D2;PREDRIVE;1;526;4.436476
D2;PREDRIVE;1;527;4.444563
D2;PREDRIVE;1;528;4.452796
D2;PREDRIVE;1;529;4.461382
D2;PREDRIVE;1;530;4.469263
D2;PREDRIVE;1;531;4.477496
D2;PREDRIVE;1;532;4.48573
D2;PREDRIVE;1;533;4.494322
D2;PREDRIVE;1;534;4.502311
D2;PREDRIVE;1;535;4.510429
D2;PREDRIVE;1;536;4.518663
D2;PREDRIVE;1;537;4.527198
D2;PREDRIVE;1;538;4.535195
D2;PREDRIVE;1;539;4.543363
D2;PREDRIVE;1;540;4.551597
D2;PREDRIVE;1;541;4.560163
D2;PREDRIVE;1;542;4.568063
D2;PREDRIVE;1;543;4.576296
D2;PREDRIVE;1;544;4.584529
D2;PREDRIVE;1;545;4.593052
D2;PREDRIVE;1;546;4.601027
D2;PREDRIVE;1;547;4.60923
D2;PREDRIVE;1;548;4.617464
D2;PREDRIVE;1;549;4.625934
D2;PREDRIVE;1;550;4.633929
D2;PREDRIVE;1;551;4.642163
D2;PREDRIVE;1;552;4.650397
D2;PREDRIVE;1;553;4.658902
D2;PREDRIVE;1;554;4.666863
D2;PREDRIVE;1;555;4.675097
D2;PREDRIVE;1;556;4.683843
D2;PREDRIVE;1;557;4.69173
D2;PREDRIVE;1;558;4.699798
D2;PREDRIVE;1;559;4.70803
D2;PREDRIVE;1;560;4.716702
D2;PREDRIVE;1;561;4.724672
D2;PREDRIVE;1;562;4.732729
D2;PREDRIVE;1;563;4.740963
D2;PREDRIVE;1;564;4.749606
D2;PREDRIVE;1;565;4.757576
D2;PREDRIVE;1;566;4.765663
D2;PREDRIVE;1;567;4.774573
D2;PREDRIVE;1;568;4.782584
D2;PREDRIVE;1;569;4.790488
D2;PREDRIVE;1;570;4.798597
D2;PREDRIVE;1;571;4.80683
D2;PREDRIVE;1;572;4.815405
D2;PREDRIVE;1;573;4.823452
D2;PREDRIVE;1;574;4.831529
D2;PREDRIVE;1;575;4.839763
D2;PREDRIVE;1;576;4.848341
D2;PREDRIVE;1;577;4.856231
D2;PREDRIVE;1;578;4.864463
D2;PREDRIVE;1;579;4.872697
D2;PREDRIVE;1;580;4.881258
D2;PREDRIVE;1;581;4.8892
D2;PREDRIVE;1;582;4.897398
D2;PREDRIVE;1;583;4.906155
D2;PREDRIVE;1;584;4.914155
D2;PREDRIVE;1;585;4.922142
D2;PREDRIVE;1;586;4.931152
D2;PREDRIVE;1;587;4.938562
D2;PREDRIVE;1;588;4.946796
D2;PREDRIVE;1;589;4.95507
D2;PREDRIVE;1;590;4.963263
D2;PREDRIVE;1;591;4.971496
